region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level
Bass Strait,62,16275,287905,17,866773,-80
Great Barrier Reef,67,38132,536627,11,3556010,-80
Gulf of Carpentaria,11,1966,61354,4,83173,-80
Kangaroo Island Area,76,9553,338407,13,1911357,-80
Kimberley,1087,2778405,16845324,25,26987063,-80
Pilbara/Canarvon,161,14864,539002,18,1199324,-80
South West,125,16296,527670,13,1473313,-80
Southern Tasmania,19,5659,91563,5,1070715,-80
Sydney Area,6,194,16047,4,115938,-80
Tiwi-Coburg,33,3529,120828,14,276543,-80
Torres Strait,79,156383,1010948,8,3586796,-80
NA,242,2677676,5514887,37,40726920,-80
