region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,69,601622,1074186,7,9797239,-16.439833179129252,8
Great Barrier Reef,1943,1894738,25299150,11,27885728,-16.439833179129252,8
Gulf of Carpentaria,206,600796,1921847,25,5841303,-16.439833179129252,8
Kangaroo Island Area,165,602327,1546630,14,7615485,-16.439833179129252,8
Kimberley,525,115382,2699668,17,9031844,-16.439833179129252,8
Pilbara/Canarvon,356,35376,1214400,19,1565310,-16.439833179129252,8
South West,69,81853,503586,10,3879125,-16.439833179129252,8
Southern Tasmania,11,2477,54749,5,1876703,-16.439833179129252,8
Sydney Area,21,2339,74101,9,928105,-16.439833179129252,8
Tiwi-Coburg,180,85114,1298382,16,2250666,-16.439833179129252,8
Torres Strait,2152,632060,13373676,9,652369,-16.439833179129252,8
NA,354,1543495,5141096,20,35555410,-16.439833179129252,8
