region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,50,15472,225132,14,661077,-83.86223267771781,32
Great Barrier Reef,89,107952,633384,16,3356287,-83.86223267771781,32
Gulf of Carpentaria,2,94,6136,2,22406,-83.86223267771781,32
Kangaroo Island Area,104,10936,367671,11,1622682,-83.86223267771781,32
Kimberley,1149,1765255,13459949,35,25707596,-83.86223267771781,32
Pilbara/Canarvon,147,16228,529084,12,1101674,-83.86223267771781,32
South West,83,3963,225611,10,754992,-83.86223267771781,32
Southern Tasmania,35,7253,139235,7,1247211,-83.86223267771781,32
Sydney Area,25,1270,73629,9,284878,-83.86223267771781,32
Tiwi-Coburg,18,3883,100531,6,512437,-83.86223267771781,32
Torres Strait,71,139721,789600,8,3733685,-83.86223267771781,32
NA,260,2771939,5595596,33,41375906,-83.86223267771781,32
