region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,103,19432,438935,23,3147817,-65.98527154013242,60
Great Barrier Reef,331,170211,2852084,15,7849397,-65.98527154013242,60
Gulf of Carpentaria,125,66092,1068061,21,1210928,-65.98527154013242,60
Kangaroo Island Area,189,26961,820296,13,2735146,-65.98527154013242,60
Kimberley,1008,1563956,11757562,24,25333325,-65.98527154013242,60
Pilbara/Canarvon,218,22649,833984,19,1415247,-65.98527154013242,60
South West,216,50513,1142168,18,2673900,-65.98527154013242,60
Southern Tasmania,16,6578,119407,8,1237371,-65.98527154013242,60
Sydney Area,5,145,10856,4,48679,-65.98527154013242,60
Tiwi-Coburg,126,148724,1327642,6,951724,-65.98527154013242,60
Torres Strait,123,168082,1572586,4,3740582,-65.98527154013242,60
NA,334,2399985,5558795,38,40081170,-65.98527154013242,60
