region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,40,12940,169439,15,549975,-87.02166472986931,38
Great Barrier Reef,60,116643,605531,12,3212356,-87.02166472986931,38
Gulf of Carpentaria,3,34,4248,1,15145,-87.02166472986931,38
Kangaroo Island Area,67,8062,233629,11,1471646,-87.02166472986931,38
Kimberley,952,1947514,12673656,26,24664091,-87.02166472986931,38
Pilbara/Canarvon,93,6979,272334,18,702807,-87.02166472986931,38
South West,65,6451,240709,9,579800,-87.02166472986931,38
Southern Tasmania,24,8182,136871,5,1329858,-87.02166472986931,38
Sydney Area,13,649,34455,10,231086,-87.02166472986931,38
Tiwi-Coburg,9,1086,40117,5,106632,-87.02166472986931,38
Torres Strait,71,144791,810363,6,3706702,-87.02166472986931,38
NA,200,2851522,5504967,35,41363727,-87.02166472986931,38
