region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,49,6127,202479,13,438303,-99.58838198517438,64
Great Barrier Reef,30,3960,133568,7,691198,-99.58838198517438,64
Kangaroo Island Area,26,2239,83069,12,434166,-99.58838198517438,64
Kimberley,940,505594,6825587,19,20426026,-99.58838198517438,64
Pilbara/Canarvon,96,5429,265252,13,350112,-99.58838198517438,64
South West,14,563,37287,5,127908,-99.58838198517438,64
Southern Tasmania,23,10729,148671,8,1321263,-99.58838198517438,64
Sydney Area,9,474,24070,5,82150,-99.58838198517438,64
Tiwi-Coburg,34,31497,375213,5,970160,-99.58838198517438,64
Torres Strait,71,108000,557394,6,3421925,-99.58838198517438,64
NA,167,2823279,4734725,20,39593235,-99.58838198517438,64
