region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,124,34221,645182,27,3230359,-67.49482422344036,52
Great Barrier Reef,306,125119,2265914,15,7159385,-67.49482422344036,52
Gulf of Carpentaria,98,31238,662644,19,628668,-67.49482422344036,52
Kangaroo Island Area,169,21729,670680,14,3284642,-67.49482422344036,52
Kimberley,924,1683809,11648058,24,25423433,-67.49482422344036,52
Pilbara/Canarvon,199,27938,860880,23,1280813,-67.49482422344036,52
South West,245,49861,1085064,18,2583603,-67.49482422344036,52
Southern Tasmania,16,5043,91090,5,1223917,-67.49482422344036,52
Sydney Area,5,40,5664,3,27143,-67.49482422344036,52
Tiwi-Coburg,124,108191,1098268,11,549050,-67.49482422344036,52
Torres Strait,110,157643,1266750,6,3741721,-67.49482422344036,52
NA,303,2440587,5511116,36,39217461,-67.49482422344036,52
