region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,46,13419,194453,15,562318,-83.04768427498136,40
Great Barrier Reef,86,29334,449316,17,2312305,-83.04768427498136,40
Gulf of Carpentaria,1,6,944,1,3730,-83.04768427498136,40
Kangaroo Island Area,74,8990,287903,15,1571855,-83.04768427498136,40
Kimberley,1014,1674120,12728864,37,25153675,-83.04768427498136,40
Pilbara/Canarvon,128,13206,448850,18,1035903,-83.04768427498136,40
South West,79,6798,222305,13,747469,-83.04768427498136,40
Southern Tasmania,30,6723,121771,4,1111468,-83.04768427498136,40
Sydney Area,15,559,37287,9,196343,-83.04768427498136,40
Tiwi-Coburg,19,2815,86845,7,486707,-83.04768427498136,40
Torres Strait,80,137518,788181,8,3670060,-83.04768427498136,40
NA,231,2752146,5524795,38,41064146,-83.04768427498136,40
