region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,83,23466,387018,28,1124998,-76.70978521209769,50
Great Barrier Reef,102,43876,677275,15,3699042,-76.70978521209769,50
Gulf of Carpentaria,9,1738,37758,3,73833,-76.70978521209769,50
Kangaroo Island Area,129,40839,554574,11,2588372,-76.70978521209769,50
Kimberley,1151,2280361,16255363,23,27165619,-76.70978521209769,50
Pilbara/Canarvon,215,10178,530038,15,1093190,-76.70978521209769,50
South West,258,42249,1010025,17,2223764,-76.70978521209769,50
Southern Tasmania,22,4442,80707,7,865834,-76.70978521209769,50
Sydney Area,20,860,50973,13,184810,-76.70978521209769,50
Tiwi-Coburg,57,9379,281296,11,380662,-76.70978521209769,50
Torres Strait,88,152228,958087,8,3705974,-76.70978521209769,50
NA,288,2616433,5618723,26,40184836,-76.70978521209769,50
