region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,44,5244,185015,14,411294,-99.29201683235678,26
Great Barrier Reef,24,3651,120353,7,665999,-99.29201683235678,26
Kangaroo Island Area,22,1849,67965,12,397964,-99.29201683235678,26
Kimberley,863,493993,6574021,22,20296938,-99.29201683235678,26
Pilbara/Canarvon,77,4347,224664,13,303663,-99.29201683235678,26
South West,11,391,29264,4,102773,-99.29201683235678,26
Southern Tasmania,21,10305,139231,8,1292517,-99.29201683235678,26
Sydney Area,8,373,22183,6,77254,-99.29201683235678,26
Tiwi-Coburg,26,30008,360582,7,949277,-99.29201683235678,26
Torres Strait,71,107452,547010,8,3404928,-99.29201683235678,26
NA,163,2818618,4714903,22,39518255,-99.29201683235678,26
