region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,168,261513,825010,19,5648252,-35.43553085879561,10
Great Barrier Reef,1386,2350236,19144740,13,16441405,-35.43553085879561,10
Gulf of Carpentaria,136,30430,488496,19,1448855,-35.43553085879561,10
Kangaroo Island Area,147,26733,668785,20,4680330,-35.43553085879561,10
Kimberley,936,871602,9173582,22,15528164,-35.43553085879561,10
Pilbara/Canarvon,187,9487,508327,17,1009694,-35.43553085879561,10
South West,294,59374,1325768,20,4849175,-35.43553085879561,10
Southern Tasmania,28,7003,145839,4,2156446,-35.43553085879561,10
Sydney Area,16,491,37288,7,279001,-35.43553085879561,10
Tiwi-Coburg,82,76743,826886,17,1308687,-35.43553085879561,10
Torres Strait,1183,197046,4986873,9,5509677,-35.43553085879561,10
NA,360,1999014,5740494,21,38050681,-35.43553085879561,10
