region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,65,480955,935433,7,9284468,-6.03249382711777,6
Great Barrier Reef,2848,1335169,24089144,6,30118926,-6.03249382711777,6
Gulf of Carpentaria,131,471779,1710402,13,5203568,-6.03249382711777,6
Kangaroo Island Area,92,525632,1043982,10,7026359,-6.03249382711777,6
Kimberley,330,122931,2254120,13,8821363,-6.03249382711777,6
Pilbara/Canarvon,117,166515,765061,12,2070145,-6.03249382711777,6
South West,76,45500,485658,14,4090938,-6.03249382711777,6
Southern Tasmania,31,2643,103362,2,3012720,-6.03249382711777,6
Sydney Area,16,1131,56637,10,738913,-6.03249382711777,6
Tiwi-Coburg,90,978918,1438544,6,4349980,-6.03249382711777,6
Torres Strait,1756,574334,11234230,6,451152,-6.03249382711777,6
NA,390,1281486,5108537,29,35241360,-6.03249382711777,6
