region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,55,7359,224189,14,502530,-99.89744323272231,30
Great Barrier Reef,31,4426,139704,5,701597,-99.89744323272231,30
Kangaroo Island Area,32,2658,101005,12,457716,-99.89744323272231,30
Kimberley,914,515050,6959152,20,20475104,-99.89744323272231,30
Pilbara/Canarvon,74,6679,280828,14,392623,-99.89744323272231,30
South West,12,345,26432,4,113811,-99.89744323272231,30
Southern Tasmania,23,11184,155278,8,1347522,-99.89744323272231,30
Sydney Area,11,664,32094,6,106012,-99.89744323272231,30
Tiwi-Coburg,38,33407,390317,5,1032244,-99.89744323272231,30
Torres Strait,72,108716,567305,8,3182708,-99.89744323272231,30
NA,166,2896825,4933424,21,41019565,-99.89744323272231,30
