region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,89,28005,562584,23,2483517,-69.19479504024581,12
Great Barrier Reef,205,89741,1588171,18,5768652,-69.19479504024581,12
Gulf of Carpentaria,13,2423,65605,7,94352,-69.19479504024581,12
Kangaroo Island Area,124,22839,566368,11,3273118,-69.19479504024581,12
Kimberley,822,1754375,11774067,25,25937045,-69.19479504024581,12
Pilbara/Canarvon,188,32100,776398,16,1422495,-69.19479504024581,12
South West,251,61076,1223823,12,2508214,-69.19479504024581,12
Southern Tasmania,17,5503,96753,6,1236911,-69.19479504024581,12
Sydney Area,10,302,23127,5,79449,-69.19479504024581,12
Tiwi-Coburg,72,108941,889182,15,289347,-69.19479504024581,12
Torres Strait,87,163036,1178494,8,3707695,-69.19479504024581,12
NA,279,2461521,5443149,28,39196563,-69.19479504024581,12
