region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,118,30581,665009,30,1203897,-72.20518725687967,54
Great Barrier Reef,138,53535,953846,12,4632592,-72.20518725687967,54
Gulf of Carpentaria,6,300,18880,3,51975,-72.20518725687967,54
Kangaroo Island Area,123,13953,493686,13,2714838,-72.20518725687967,54
Kimberley,907,2190405,13377320,22,26382411,-72.20518725687967,54
Pilbara/Canarvon,207,12605,586199,23,1195955,-72.20518725687967,54
South West,245,69921,1173796,13,2547066,-72.20518725687967,54
Southern Tasmania,17,6645,111857,5,1232003,-72.20518725687967,54
Sydney Area,9,179,16520,8,78380,-72.20518725687967,54
Tiwi-Coburg,65,26713,351145,15,425849,-72.20518725687967,54
Torres Strait,87,133301,810366,12,3517747,-72.20518725687967,54
NA,239,2524645,5357251,37,39567290,-72.20518725687967,54
