region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,52,10948,201060,12,743676,-81.13891379157023,16
Great Barrier Reef,67,37023,518219,9,3385115,-81.13891379157023,16
Gulf of Carpentaria,1,6,944,1,2953,-81.13891379157023,16
Kangaroo Island Area,76,9092,309142,9,1592331,-81.13891379157023,16
Kimberley,986,2436531,15749892,28,25661880,-81.13891379157023,16
Pilbara/Canarvon,127,12552,455930,15,1110437,-81.13891379157023,16
South West,73,3464,190681,13,758533,-81.13891379157023,16
Southern Tasmania,23,6000,100059,5,1106897,-81.13891379157023,16
Sydney Area,12,255,23599,7,157331,-81.13891379157023,16
Tiwi-Coburg,18,938,42479,9,453120,-81.13891379157023,16
Torres Strait,71,162275,983571,8,3661526,-81.13891379157023,16
NA,226,2687594,5305804,39,40469725,-81.13891379157023,16
