region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,53,458795,927880,5,9150887,-4.291234780046056,4
Great Barrier Reef,2934,1126665,22468915,5,30592637,-4.291234780046056,4
Gulf of Carpentaria,122,437289,1567395,11,5012185,-4.291234780046056,4
Kangaroo Island Area,91,513019,986877,9,6862383,-4.291234780046056,4
Kimberley,397,114971,2446694,15,8821005,-4.291234780046056,4
Pilbara/Canarvon,137,156898,1080335,12,2039137,-4.291234780046056,4
South West,105,37107,469145,17,3974583,-4.291234780046056,4
Southern Tasmania,30,2431,97227,2,2987447,-4.291234780046056,4
Sydney Area,22,1033,61830,10,686398,-4.291234780046056,4
Tiwi-Coburg,93,932914,1349816,9,4257760,-4.291234780046056,4
Torres Strait,1648,490400,9816460,9,383276,-4.291234780046056,4
NA,381,1263097,5697546,22,34857548,-4.291234780046056,4
