region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,58,7143,227017,13,679871,-109.70575505121364,24
Great Barrier Reef,14,753,42478,2,404644,-109.70575505121364,24
Gulf of Carpentaria,1,11,1416,1,7179,-109.70575505121364,24
Kangaroo Island Area,47,2945,134043,13,327926,-109.70575505121364,24
Kimberley,580,424642,5022648,18,17712128,-109.70575505121364,24
Pilbara/Canarvon,83,4610,241654,7,335884,-109.70575505121364,24
South West,4,302,14631,2,35869,-109.70575505121364,24
Southern Tasmania,17,11418,112328,6,1344873,-109.70575505121364,24
Sydney Area,20,1685,79290,7,152288,-109.70575505121364,24
Tiwi-Coburg,29,6160,140648,9,721266,-109.70575505121364,24
Torres Strait,55,107205,538985,5,3275897,-109.70575505121364,24
NA,185,2693564,4914548,19,40013678,-109.70575505121364,24
