region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,68,10777,222774,14,766475,-80.77901309760234,44
Great Barrier Reef,73,37981,560222,10,3409775,-80.77901309760234,44
Gulf of Carpentaria,6,3375,68436,2,82159,-80.77901309760234,44
Kangaroo Island Area,110,12203,421005,13,1843593,-80.77901309760234,44
Kimberley,1135,2873438,16784446,24,26849706,-80.77901309760234,44
Pilbara/Canarvon,161,12683,519653,17,1225103,-80.77901309760234,44
South West,126,13911,422892,15,1245286,-80.77901309760234,44
Southern Tasmania,20,5827,92979,5,1119124,-80.77901309760234,44
Sydney Area,12,312,27847,7,160344,-80.77901309760234,44
Tiwi-Coburg,29,1756,88261,8,152886,-80.77901309760234,44
Torres Strait,80,161179,1017552,11,3689621,-80.77901309760234,44
NA,242,2678298,5341204,49,40665927,-80.77901309760234,44
