region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,142,44751,790549,34,1316926,-75.5382911578932,14
Great Barrier Reef,127,42848,727776,15,3724007,-75.5382911578932,14
Gulf of Carpentaria,3,530,15574,2,28202,-75.5382911578932,14
Kangaroo Island Area,136,31908,572038,11,2628606,-75.5382911578932,14
Kimberley,1115,2791364,16296900,21,26468410,-75.5382911578932,14
Pilbara/Canarvon,195,11963,531924,20,1037803,-75.5382911578932,14
South West,268,37465,948667,26,2192406,-75.5382911578932,14
Southern Tasmania,24,4620,89674,8,930149,-75.5382911578932,14
Sydney Area,9,180,16520,7,85600,-75.5382911578932,14
Tiwi-Coburg,74,11427,336515,12,400409,-75.5382911578932,14
Torres Strait,88,144221,880687,6,3546125,-75.5382911578932,14
NA,262,2578315,5388401,38,39833618,-75.5382911578932,14
