region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,50,13669,195871,14,606068,-87.30849329123131,62
Great Barrier Reef,57,117845,607419,9,3219481,-87.30849329123131,62
Gulf of Carpentaria,3,100,8496,1,20736,-87.30849329123131,62
Kangaroo Island Area,73,8675,253922,10,1508715,-87.30849329123131,62
Kimberley,999,977522,9779126,27,23813405,-87.30849329123131,62
Pilbara/Canarvon,101,7974,308674,18,784007,-87.30849329123131,62
South West,62,6239,230797,8,609438,-87.30849329123131,62
Southern Tasmania,24,8411,140175,5,1308473,-87.30849329123131,62
Sydney Area,15,885,44839,8,255217,-87.30849329123131,62
Tiwi-Coburg,12,2040,56636,6,150974,-87.30849329123131,62
Torres Strait,76,144792,805172,6,3706136,-87.30849329123131,62
NA,222,2860945,5588037,35,41548010,-87.30849329123131,62
