region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,121,381426,1862372,6,10828436,0,0
Great Barrier Reef,1068,475416,6250338,6,28790376,0,0
Gulf of Carpentaria,233,585383,3828104,23,8746965,0,0
Kangaroo Island Area,61,462512,933074,7,7093553,0,0
Kimberley,453,145470,3189567,19,12048368,0,0
Pilbara/Canarvon,91,25564,649904,10,2698916,0,0
South West,113,12812,483779,9,5085042,0,0
Southern Tasmania,29,55863,538510,2,5952693,0,0
Sydney Area,25,1844,93924,11,2243814,0,0
Tiwi-Coburg,83,838807,2139881,11,5631792,0,0
Torres Strait,202,223496,2218242,6,6520811,0,0
NA,429,1287841,6928430,18,39194995,0,0
