region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,118,20033,503123,24,3105525,-62.29227070509637,58
Great Barrier Reef,436,171542,3195222,25,8470655,-62.29227070509637,58
Gulf of Carpentaria,133,65744,1035494,38,1078015,-62.29227070509637,58
Kangaroo Island Area,152,21580,615932,15,3656587,-62.29227070509637,58
Kimberley,1087,2390268,14993332,30,25242564,-62.29227070509637,58
Pilbara/Canarvon,205,13985,628676,17,1266365,-62.29227070509637,58
South West,250,65966,1480091,17,3496058,-62.29227070509637,58
Southern Tasmania,19,5958,146309,6,1331454,-62.29227070509637,58
Sydney Area,6,102,10856,4,50698,-62.29227070509637,58
Tiwi-Coburg,152,137570,1427232,14,859020,-62.29227070509637,58
Torres Strait,160,147246,1590520,6,3630373,-62.29227070509637,58
NA,362,2434749,5917954,41,39619926,-62.29227070509637,58
