region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,32,8479,115163,12,395240,-84.04162072333034,42
Great Barrier Reef,74,109175,653203,15,3277751,-84.04162072333034,42
Gulf of Carpentaria,3,51,5664,2,17095,-84.04162072333034,42
Kangaroo Island Area,68,8019,250148,14,1549277,-84.04162072333034,42
Kimberley,993,1767745,12945026,33,24917527,-84.04162072333034,42
Pilbara/Canarvon,137,16855,515395,19,1061687,-84.04162072333034,42
South West,58,3408,164719,9,724438,-84.04162072333034,42
Southern Tasmania,25,7251,124130,5,1134115,-84.04162072333034,42
Sydney Area,18,1540,70326,8,291046,-84.04162072333034,42
Tiwi-Coburg,12,2685,70795,3,457504,-84.04162072333034,42
Torres Strait,79,142649,845762,11,3687764,-84.04162072333034,42
NA,220,2775128,5503553,36,41227628,-84.04162072333034,42
