region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,55,17745,268080,14,727971,-88.7258065039538,48
Great Barrier Reef,50,112956,584766,10,2741015,-88.7258065039538,48
Gulf of Carpentaria,2,173,8024,1,15702,-88.7258065039538,48
Kangaroo Island Area,81,6613,275638,10,1224595,-88.7258065039538,48
Kimberley,1128,919697,9737605,32,23552042,-88.7258065039538,48
Pilbara/Canarvon,95,10282,341713,17,861877,-88.7258065039538,48
South West,46,1446,98646,10,264636,-88.7258065039538,48
Southern Tasmania,22,8604,134041,6,1363494,-88.7258065039538,48
Sydney Area,8,308,19823,4,196957,-88.7258065039538,48
Tiwi-Coburg,19,4641,92505,7,158996,-88.7258065039538,48
Torres Strait,87,142615,809421,9,3700475,-88.7258065039538,48
NA,234,2909219,5746145,36,41794364,-88.7258065039538,48
