region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,63,6061,238822,17,892659,-106.55289499215891,20
Great Barrier Reef,18,2430,72683,9,585585,-106.55289499215891,20
Gulf of Carpentaria,4,73,7080,3,30636,-106.55289499215891,20
Kangaroo Island Area,30,1872,92980,14,305715,-106.55289499215891,20
Kimberley,639,427139,5270913,19,18357830,-106.55289499215891,20
Pilbara/Canarvon,62,2279,152920,13,348817,-106.55289499215891,20
South West,10,203,17464,5,139581,-106.55289499215891,20
Southern Tasmania,11,10375,94865,4,1182074,-106.55289499215891,20
Sydney Area,8,324,22184,5,118091,-106.55289499215891,20
Tiwi-Coburg,47,7916,206725,8,820744,-106.55289499215891,20
Torres Strait,56,105261,498396,7,3249500,-106.55289499215891,20
NA,183,2651366,4797498,23,39856303,-106.55289499215891,20
