region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,141,39051,714566,30,1372038,-75.70194214242123,56
Great Barrier Reef,127,42650,719756,15,3739689,-75.70194214242123,56
Gulf of Carpentaria,3,591,16518,2,31624,-75.70194214242123,56
Kangaroo Island Area,137,32882,592805,10,2640096,-75.70194214242123,56
Kimberley,1148,2820227,16489471,21,26626893,-75.70194214242123,56
Pilbara/Canarvon,196,12361,537588,19,1039743,-75.70194214242123,56
South West,299,39699,1014276,24,2240821,-75.70194214242123,56
Southern Tasmania,23,4669,90146,8,941212,-75.70194214242123,56
Sydney Area,11,231,19352,8,98538,-75.70194214242123,56
Tiwi-Coburg,76,12031,347842,10,412986,-75.70194214242123,56
Torres Strait,90,144854,889182,6,3554977,-75.70194214242123,56
NA,267,2583180,5418607,41,39944831,-75.70194214242123,56
