region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,56,4562,188790,15,605778,-103.8996576557392,28
Great Barrier Reef,32,1998,87789,9,602433,-103.8996576557392,28
Gulf of Carpentaria,3,128,8024,1,25867,-103.8996576557392,28
Kangaroo Island Area,40,963,78352,14,268796,-103.8996576557392,28
Kimberley,768,480914,6105357,20,19093819,-103.8996576557392,28
Pilbara/Canarvon,60,3036,174633,10,286100,-103.8996576557392,28
South West,15,482,33040,9,174112,-103.8996576557392,28
Southern Tasmania,20,9720,104778,8,1366430,-103.8996576557392,28
Sydney Area,16,915,51917,8,199081,-103.8996576557392,28
Tiwi-Coburg,31,13366,176048,12,784057,-103.8996576557392,28
Torres Strait,54,107147,550311,7,3289125,-103.8996576557392,28
NA,200,2624156,4902747,23,39957057,-103.8996576557392,28
