region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,130,39355,698520,28,1376427,-75.84535319644557,46
Great Barrier Reef,119,43473,726836,14,3756793,-75.84535319644557,46
Gulf of Carpentaria,3,641,16990,2,34541,-75.84535319644557,46
Kangaroo Island Area,130,33632,597051,10,2668732,-75.84535319644557,46
Kimberley,1156,2840864,16539499,21,26643572,-75.84535319644557,46
Pilbara/Canarvon,194,10592,506911,18,1054599,-75.84535319644557,46
South West,281,41731,1052033,24,2267097,-75.84535319644557,46
Southern Tasmania,23,4703,90619,8,950175,-75.84535319644557,46
Sydney Area,11,269,21712,8,109369,-75.84535319644557,46
Tiwi-Coburg,71,11620,338401,10,414198,-75.84535319644557,46
Torres Strait,93,145594,899566,7,3550848,-75.84535319644557,46
NA,267,2586927,5451174,40,40037195,-75.84535319644557,46
