region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,25,822,57112,14,244977,-117.06060190669965,22
Great Barrier Reef,10,391,21711,5,334550,-117.06060190669965,22
Gulf of Carpentaria,1,22,2360,1,42346,-117.06060190669965,22
Kangaroo Island Area,14,1059,51919,6,141270,-117.06060190669965,22
Kimberley,392,369841,3972993,21,15485146,-117.06060190669965,22
Pilbara/Canarvon,37,1627,100532,10,165474,-117.06060190669965,22
South West,1,6,944,1,3877,-117.06060190669965,22
Southern Tasmania,23,14359,143949,8,1248177,-117.06060190669965,22
Sydney Area,15,188,21240,8,78088,-117.06060190669965,22
Tiwi-Coburg,18,1270,62774,8,173067,-117.06060190669965,22
Torres Strait,45,167041,681988,5,4123982,-117.06060190669965,22
NA,132,2786562,4802214,15,40429098,-117.06060190669965,22
