region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,71,20458,280827,15,698783,-90.62084722292988,18
Great Barrier Reef,63,40496,449314,10,1606693,-90.62084722292988,18
Gulf of Carpentaria,3,118,6608,3,22463,-90.62084722292988,18
Kangaroo Island Area,74,6379,220887,13,927413,-90.62084722292988,18
Kimberley,1060,827718,8973015,32,22988422,-90.62084722292988,18
Pilbara/Canarvon,110,12843,360591,17,886857,-90.62084722292988,18
South West,34,1943,94395,10,264459,-90.62084722292988,18
Southern Tasmania,25,9010,134985,10,1360278,-90.62084722292988,18
Sydney Area,7,174,13216,5,126137,-90.62084722292988,18
Tiwi-Coburg,12,1111,33511,7,463933,-90.62084722292988,18
Torres Strait,91,140213,746648,9,3742002,-90.62084722292988,18
NA,206,2912320,5519596,36,41492281,-90.62084722292988,18
