region,nislands,total_area,total_per,n_areas,total_ri_area,sea_level,age
Bass Strait,125,41654,726367,33,1116816,-75.11197743656712,36
Great Barrier Reef,122,40448,691432,15,3813920,-75.11197743656712,36
Gulf of Carpentaria,3,379,14159,2,25093,-75.11197743656712,36
Kangaroo Island Area,134,30389,553631,13,2694327,-75.11197743656712,36
Kimberley,954,2717318,15803674,18,26173521,-75.11197743656712,36
Pilbara/Canarvon,161,10046,451213,16,935110,-75.11197743656712,36
South West,186,32703,799524,22,2057830,-75.11197743656712,36
Southern Tasmania,24,4457,86371,7,903225,-75.11197743656712,36
Sydney Area,11,152,16520,8,71143,-75.11197743656712,36
Tiwi-Coburg,57,8623,274687,10,321869,-75.11197743656712,36
Torres Strait,85,142823,866527,6,3516115,-75.11197743656712,36
NA,252,2567950,5341203,30,39620281,-75.11197743656712,36
